Company, Latitude, Longitude, Products
Skala Garden, 46.101064, 19.701308, VM-3 + HRT210SP-P1; VM-2
Ariljemetal, 41.991211, 21.485377, ST-10 / BAR2010ST; ST-20Y / BAR3010ST
Wabtec MZT, 41.994828, 21.485723, ST-10 / BAR-ROBOBAR; ST-20; ST-20; ST-30 / BAR3010ST; ST-30SS / BAR3010ST; ST-30SS; ST-30Y; Tornos Delta 20
Bratstvo Inox, 41.121952, 20.808103, VCE-750; ST-30; VF-3
FAB Doo, 44.298337, 20.002853, VF-5 / HRT-210; VF-3YT/50; VF-2YT
MET SZR, 43.863542, 20.391977, VF-3; VM-3; VM-3; SMiniMill
Tehnički remontni zavod, 43.881593, 20.362859, VF-3; ST-30
Alfa Plam, 42.5451481, 21.9107782, ST-30; VF-8/50; EC-1600ZT
Borbeni složeni sistemi, 44.342285, 21.079572, ST-40; VF-4; VF-9/50
Erozimat d.o.o. Jagodina, 43.981127, 21.268609, VF-2SS; VM-2; VM-2
Gasteh D.O.O., 45.030084, 20.102046, ST-10
INMOLD D.O.O., 43.844745, 20.041487, ST-10; VF-2
Knott Autoflex Yug, 45.603327, 20.034074, MDC-500; MDC-500; ST-20
NVM Uroš d.o.o., 44.939404, 20.20934, VF-3SS
Pestan d.o.o., 44.335964, 20.506447, EC-1600HE; TM-1HE
WCT, 45.104062, 19.800088, ST-30; UMC-750SS
Surčinski Put 1b, 44.825986, 20.382969, Beograd 11070; www.teximp.com; 011 7129428
Tehnika, 45.052063, 20.076528, UMC-750
T-1, 45.809486, 20.109776, UMC-750; VF-2; VF-3; SL-40; MDC-500
IDAS, 45.765147, 20.13515, GR-712; VF-2; VF-2; VF-2; VF-2; VF-4; VF-4; ST-20; ST-30Y; 
Elmetal, 45.916621, 20.098619, TL-2; TM-1HE; TM-2; VF-1DEHE; VF-3YT; VM-3; UMC-1000; 
Zupčanik, 45.803377, 20.116248, TM-2HE
InterCrown-Plastic, 44.953896, 20.202398, TM-2HE; VF-3SS
Daido Metal, 42.387443, 18.749403, VF-1DEHE
Mašinski fakultet Kragujevac, 44.01894, 20.905614, TM-1HE
Livnica Preciznih Odlivaka, 45.790852, 20.121084, VF-5 / TR210
Tehnička škola Ada, 45.790805, 20.129201, TL-1; TM-1
TARA Group, 42.956658, 19.584703, ST-10; VF-2SS / HRT210; VF-2SS / HRT210; EC-400; VF-1
Srednja mašinska škola Kruševac, 43.577702, 21.327853, TM-1HE
Dermatex Elektro, 44.853076, 20.399917, VMC-750
Lilly Trade, 45.9168699, 20.0958345, TM-2P
Jokey Bg D.O.O., 44.938306, 20.217322, TM-2HE; VF-3BHE
Q-TEK, 42.090436, 19.091396, VM-3; DT-1
Sin-Kom, 43.110708, 22.64809, VF-4; VF-6
Unior-WEBA, 43.999549, 20.913608, VF-6; VM-3
Zastava Inpro, 43.99819, 20.914938, ST-20; ST-30; VF-2SS
Vipol, 45.285535, 19.815474, Deco 20
Vossloh MIN Skretnice d.o.o, 43.338413, 21.873495, EC-1600
Trgoprevoz, 44.625346, 21.173139, TM-3P
UMP Freskop, 44.285812, 19.873184, TM-1PHE
Akvaton, 41.992041, 21.479763, TM-2P
INSA, 44.8509, 20.390725, VM-2HE
Eurotehna, 43.9803314, 19.5709894, VM-3; VM-3; VM-3
Mag Plast, 43.971499, 19.558769, VCE-500
Ruen, 41.913575, 22.425232, TL-3HE
ORELJ, 44.94057, 20.207559, TM-1HE; VCE-750; VCE-1250; VF-7; VF-8; 
SERVOTEH, 44.840479, 20.213281, VF-1
Modul SZR, 46.084714, 19.659112, TM-1 + HRT210; TL-2
Alatnica Gajic, 44.990045, 20.140943, TM-1HE
Alatnica ADA, 45.791315, 20.140426, TM-1HE; VF-1; Super MiniMill
Reduktor, 44.953213, 20.211314, VCE750
GS Evrometal, 44.235501, 21.20525, ST-10
Fiting, 45.312412, 19.836159, TM-1HE
Limar ZR, 45.393545, 20.392392, TL-2HE
IGMA Inžnjering, 44.871678, 20.465362, TL-2HE
Isico, 44.719539, 20.373963, TL-2HE; TM-3HE
