   3027515  0 0 0 0 0 0    421.250000000  145.650000000  -40.000000000    0    0
   3027516  0 0 0 0 0 0    421.250000000  145.650000000  -33.222223081    0    0
   3027517  0 0 0 0 0 0    421.250000000  145.650000000  -26.444446161    0    0
   3027518  0 0 0 0 0 0    421.250000000  145.650000000  -20.344446070    0    0
   3027519  0 0 0 0 0 0    421.250000000  145.650000000  -14.244445980    0    0
   3027520  0 0 0 0 0 0    421.250000000  145.650000000   -8.822222263    0    0
   3027521  0 0 0 0 0 0    421.250000000  145.650000000   -3.399998546    0    0
   3027522  0 0 0 0 0 0    421.250000000  145.650000000    1.344447434    0    0
   3027523  0 0 0 0 0 0    421.250000000  145.650000000    6.088893414    0    0
   3027524  0 0 0 0 0 0    421.250000000  145.650000000   10.155558020    0    0
   3027525  0 0 0 0 0 0    421.250000000  145.650000000   14.222222626    0    0
   3027526  0 0 0 0 0 0    421.250000000  145.650000000   17.611111313    0    0
   3027527  0 0 0 0 0 0    421.250000000  145.650000000   21.000000000    0    0
   3027528  0 0 0 0 0 0    421.250000000  145.650000000   21.833333333    0    0
   3027529  0 0 0 0 0 0    421.250000000  145.650000000   22.666666667    0    0
   3027530  0 0 0 0 0 0    421.250000000  145.650000000   23.500000000    0    0
   3027531  0 0 0 0 0 0    421.250000000  145.650000000   24.333333333    0    0
   3027532  0 0 0 0 0 0    421.250000000  145.650000000   25.166666667    0    0
   3027533  0 0 0 0 0 0    421.250000000  145.650000000   26.000000000    0    0
   3027534  0 0 0 0 0 0    421.250000000  146.427149258   22.850091835    0    0
   3027535  0 0 0 0 0 0    421.250000000  146.427149258   23.683425169    0    0
   3027536  0 0 0 0 0 0    421.250000000  146.526783299   25.166666667    0    0
   3027537  0 0 0 0 0 0    421.250000000  146.526783299   26.000000000    0    0
   3027538  0 0 0 0 0 0    421.250000000  146.691666667   17.611111313    0    0
   3027539  0 0 0 0 0 0    421.250000000  146.691666667   21.000000000    0    0
   3027540  0 0 0 0 0 0    421.250000000  146.691666667   21.833333333    0    0
   3027541  0 0 0 0 0 0    421.250000000  146.850500891   24.374142932    0    0
   3027542  0 0 0 0 0 0    421.250000000  147.031565620    9.865515323    0    0
   3027543  0 0 0 0 0 0    421.250000000  147.031565620   13.932179929    0    0
   3027544  0 0 0 0 0 0    421.250000000  147.204298516   23.033517004    0    0
   3027545  0 0 0 0 0 0    421.250000000  147.403566599   26.000000000    0    0
   3027546  0 0 0 0 0 0    421.250000000  147.468815925   22.016758502    0    0
