Puni naziv;Skraćeni naziv;Adresa;Pošta i mesto;Region;Matični broj;Poreski br.;Pravni oblik:;Datum osnivanja:;Delatnost:
PRIVREDNO DRUŠTVO ZA PROIZVODNJU I USLUGE ELMONT-GRADNJA DOO POŽAREVAC;DOO ELMONT-GRADNJA POŽAREVAC;VELJKA VLAHOVIĆA 80;12000 POŽAREVAC;Braničevski;17442961;101825529;Društvo sa ograničenom odgovornošću;28.9.2002.;Postavljanje električnih instalacija
PREDUZEĆE ZA PROIZVODNJU I PROMET ELMONT BLED DOO BEOGRAD (ZVEZDARA);ELMONT BLED DOO BEOGRAD;Zahumska 36;11000 BEOGRAD;Grad Beograd;20055456;103976615;Društvo sa ograničenom odgovornošću;27.5.2005.;Proizvodnja metalnih konstrukcija i delova konstrukcija
DEJAN GRUJIĆ PR, ELEKTROMONTERSKA RADNJA ELMONT-09 BRAJKOVAC;ELMONT-09;/ /;37253 Bela Voda;Grad Beograd;61773274;105954756;Preduzetnik;4.5.2009.;Postavljanje električnih instalacija
TRADE MARK ELMONT DOO STARA PAZOVA;TRADE MARK ELMONT;SLOVENSKI TRG BB, LOK. 4;22300 Stara Pazova;Sremski;20485981;105907257;Društvo sa ograničenom odgovornošću;19.12.2008.;Postavljanje električnih instalacija
PREDUZEĆE METALOPLASTIKA AD ČAJETINA;METALOPLASTIKA AD ČAJETINA;Zlatiborska 3;31310 ČAJETINA;Zlatiborski;07606290;101074406;Akcionarsko društvo;17.1.1991.;Proizvodnja ostalih metalnih proizvoda
PREDUZEĆE ZA PROFESIONALNU REHABILITACIJU I ZAPOŠLJAVANJE OSOBA SA INVALIDITETOM INDUSTRIJA PLASTIČNE AMBALAŽE METALOPLASTIKA DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU TRSTENIK-STARI TRSTENIK;I.P.A. METALOPLASTIKA D.O.O. TRSTENIK-STARI TRSTENIK;Stari Trstenik 29;37242 STOPANJA;Rasinski;17533711;103204863;Društvo sa ograničenom odgovornošću;26.12.2003.;Ostala nepomenuta socijalna zaštita bez smeštaja
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU METALOPLASTIKA SREĆKOVIĆ VRNJCI;METALOPLASTIKA SREĆKOVIĆ DOO VRNJCI;MORAVSKA DOLINA 1A;36217 VRNJCI;Raški;20599537;106426564;Društvo sa ograničenom odgovornošću;6.1.2010.;Proizvodnja ostalih proizvoda od plastike
METALOPRERAĐIVAČKO PREDUZEĆE GALEB-METALOPLASTIKA AD, ŠABAC;GALEB-METALOPLASTIKA AD ŠABAC;POCERSKA 111;15000 ŠABAC;Mačvanski;07116284;100109493;Akcionarsko društvo;6.7.1998.;Proizvodnja čeličnih buradi i slične ambalaže
ĐORĐE CVJETINOVIĆ PREDUZETNIK SAMOSTALNA METALOPLASTIČARSKA RADNJA CB-METALOPLASTIKA NOVA PAZOVA;ĐORĐE CVJETINOVIĆ PREDUZETNIK SAMOSTALNA METALOPLASTIČARSKA RADNJA CB-METALOPLASTIKA NOVA PAZOVA;SAVE KOVAČEVIĆA 23;22330 Nova Pazova;Sremski;57185619;104175821;Preduzetnik;16.12.2005.;Proizvodnja ostalih metalnih proizvoda
BRANISLAVA DRAGAŠ PR, METALOPLASTIKA, TRGOVINA I KOMISION VODOPRODUKT-DB NOVA PAZOVA;BRANISLAVA DRAGAŠ PR, METALOPLASTIKA, TRGOVINA I KOMISION VODOPRODUKT-DB NOVA PAZOVA;HILANDARSKA 60;22330 Nova Pazova;Sremski;61829865;105912007;Preduzetnik;30.12.2008.;Ostala trgovina na malo novim proizvodima u specijalizovanim prodavnicama
SZR METALOPLASTIKA PREDOJEVIĆ JOVANKA PREDUZETNIK KRAGUJEVAC;SZR METALOPLASTIKA PREDOJEVIĆ JOVANKA PREDUZETNIK KRAGUJEVAC;MORAVSKA 1;34000 KRAGUJEVAC;Šumadijski;54929188;101036475;Preduzetnik;1.10.2000.;Proizvodnja ambalaže od plastike
ANITA ŽIGMOND PREDUZETNIK, SAMOSTALNA ZANATSKA RADNJA LENĐEL METALOPLASTIKA, PALIĆ;ANITA ŽIGMOND PREDUZETNIK, SAMOSTALNA ZANATSKA RADNJA LENĐEL METALOPLASTIKA, PALIĆ;Sedmog Jula 5;24413 Palić;Severno-Bački;61346848;106426327;Preduzetnik;6.1.2010.;Proizvodnja ostalih proizvoda od plastike
SAMOSTALNA TRGOVINSKA RADNJA METALOPLASTIKA PERICA ŽARKOVIĆ PREDUZETNIK BEOGRAD (ZVEZDARA);METALOPLASTIKA;BULEVAR KRALJA ALEKSANDRA 297Š;11050 BEOGRAD-ZVEZDARA;Grad Beograd;55973415;102186539;Preduzetnik;15.10.2002.;Trgovina na malo metalnom robom, bojama i staklom u specijalizovanim prodavnicama
BRANKO PECELJ PREDUZETNIK, SZUR METALOPLASTIKA PECELJ, KRAGUJEVAC;BRANKO PECELJ PREDUZETNIK, SZUR METALOPLASTIKA PECELJ, KRAGUJEVAC;BOŠKA BUHE 38;34000 KRAGUJEVAC;Šumadijski;62362502;106909440;Preduzetnik;17.1.2011.;Proizvodnja ostalih proizvoda od plastike
LEONI WIRING SYSTEMS SOUTHEAST DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU PROKUPLJE;LEONI WIRING SYSTEMS SOUTHEAST DOO PROKUPLJE;PANE ĐUKIĆA 1;18400 PROKUPLJE;Toplički;20521694;106059076;Društvo sa ograničenom odgovornošću;3.4.2009.;Popravka električne opreme
INDUSTRIJSKI SINDIKAT - LEONI PROKUPLJE;INDUSTRIJSKI SINDIKAT - LEONI PROKUPLJE;PANE ĐUKIĆA 1;18400 PROKUPLJE;Toplički;17831879;107954946;Not Found;6.3.2013.;Delatnost sindikata
SINDIKAT NEZAVISNOST -LEONI PROKUPLJE;SINDIKAT NEZAVISNOST -LEONI PROKUPLJE;PANA ĐUKIĆA 1;18400 PROKUPLJE;Toplički;17833995;108874242;Not Found;2.3.2015.;Not Found
MING KOVAČNICA A.D. NIŠ;MING KOVAČNICA A.D.;Bulevar 12. februar 95;18104 Niš (Crveni Krst);Grad Niš;07583176;100603457;Akcionarsko društvo;29.6.2000.;"Kovanje, presovanje, štancovanje i valjanje metala; metalurgija praha"
PREDUZEĆE ELMOPROM DOO PIROT;ELMOPROM DOO PIROT;NIKOLE PAŠIĆA 247;18300 PIROT;Pirotski;06285074;100358492;Društvo sa ograničenom odgovornošću;26.6.1998.;Proizvodnja mašina za obradu metala
DOO ELMOPROM ZA PROIZVODNJU MONTAŽU ODRŽAVANJE I PROMET ELEKTRIČNIH UREDJEAJA I OPREME , NOVI SAD;DOO ELMOPROM NOVI SAD;DRAGE SPASIĆ 11;21000 Novi Sad;Južno-Bački;08323186;100724711;Društvo sa ograničenom odgovornošću;20.3.1992.;Proizvodnja opreme za distribuciju električne energije i opreme za upravljanje električnom energijom
ALATNICA KRSTIĆ KRSTIĆ ZORAN PR PIROT;KRSTIĆ;MILUTINA VELIMIROVIĆA BB;18300 PIROT;Pirotski;50315932;100373977;Preduzetnik;30.1.1987.;Proizvodnja alata
NARCISSUS DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ADA;NARCISSUS DOO ADA;MOLSKI PUT 3;24430 Ada;Severno-Banatski;08554129;101092987;Društvo sa ograničenom odgovornošću;2.4.1998.;Proizvodnja medicinskih i stomatoloških instrumenata i materijala
APOTEKA NARCISSUS ZDRAVSTVENA USTANOVA;APOTEKA NARCISSUS ZDRAVSTVENA USTANOVA;VUKA KARADŽIĆA 24;24430 Ada;Severno-Banatski;08897646;105901822;Not Found;6.1.2009.;Trgovina na malo farmaceutskim proizvodima u specijalizovanim prodavnicama – apotekama
NADEŽDA PEJČIĆ BUGARSKI PR POLIKLINIKA NARCISSUS ADA;NADEŽDA PEJČIĆ BUGARSKI PR NARCISSUS;Maršala Tita 13;24430 Ada;Severno-Banatski;64809881;110323782;Preduzetnik;14.11.2017.;Specijalistička medicinska praksa
Aleksandra Đukić PR Umetničko stvaralaštvo slikarski studio Narcissus Beograd;Aleksandra Đukić PR Umetničko stvaralaštvo slikarski studio Narcissus Beograd;ŽIVKA ŽIVKOVIĆA 33B;11309 Leštane;Grad Beograd;66276660;112676951;Preduzetnik;21.9.2021.;Umetničko stvaralaštvo
FABRIKA ELEKTROMATERIJALA I ALATA NIKOLIĆ FEMAN DOO JAGODINA;FEMAN DOO JAGODINA;Vihorska 1;35000 JAGODINA;Pomoravski;07367619;101322472;Društvo sa ograničenom odgovornošću;11.6.1998.;Proizvodnja opreme za distribuciju električne energije i opreme za upravljanje električnom energijom
BEOINOX DRUŠTVO ZA PROIZVODNJU I INŽENJERING, DOO, BEOGRAD (PALILULA);BEOINOX DOO BEOGRAD;PRVA SUTJESKA 19 C;11060 BEOGRAD-PALILULA;Grad Beograd;06208894;100207948;Društvo sa ograničenom odgovornošću;29.9.1992.;Proizvodnja ostalih metalnih cisterni, rezervoara i kontejnera
MARS BALKAN EAST D.O.O. BEOGRAD-NOVI BEOGRAD;MARS BALKAN EAST D.O.O.;OMLADINSKIH BRIGADA 88;11070 NOVI BEOGRAD;Grad Beograd;21189073;109472461;Društvo sa ograničenom odgovornošću;19.4.2016.;Trgovina na veliko šećerom, čokoladom i slatkišima
MARS D.O.O. ZA TRGOVINU USLUGE I POSREDOVANJE EXPORT IMPORT BEOČIN;MARS DOO BEOČIN;TRG BEOČINSKE FABRIKE CEMENTA (BIZNIS PARK) 1;21300 Beočin;Južno-Bački;08203326;103442383;Društvo sa ograničenom odgovornošću;5.7.1990.;Mašinska obrada metala
MARS SDT TEKSTIL DOO NOVI PAZAR;MARS SDT TEKSTIL DOO;Dimitrija Tucovića 2-4;36300 NOVI PAZAR;Raški;21011002;108496825;Društvo sa ograničenom odgovornošću;16.4.2014.;Nespecijalizovana trgovina na veliko
PREDUZEĆE ZA POSREDOVANJE I TRGOVINU MUZIČKIM MATERIJALOM I NOSAČIMA ZVUKA MARS MUSIC DOO BEOGRAD (VRAČAR);MARS MUSIC DOO BEOGRAD;Sime Igumanova 16;11000 BEOGRAD;Grad Beograd;17420097;101990513;Društvo sa ograničenom odgovornošću;14.10.2002.;Snimanje i izdavanje zvučnih zapisa i muzike
MARS Casting Technologies NS DOO ZA PROIZVODNJU TRGOVINU I USLUGE NOVI SAD;MARS C.T. NS DOO NOVI SAD;DANILA KIŠA 3, ULAZ V;21000 Novi Sad;Južno-Bački;21128767;109121610;Društvo sa ograničenom odgovornošću;18.8.2015.;Proizvodnja mašina za metalurgiju
SLAĐANA MIJAILOVIĆ PR, STR MARS TOPOLA (VAROŠICA);MARS;BULEVAR VOŽDA KARAĐORĐA 74;34310 TOPOLA;Šumadijski;62223561;106739083;Preduzetnik;19.8.2010.;Trgovina na malo obućom i predmetima od kože u specijalizovanim prodavnicama
SAMOSTALNA TRGOVINSKA RADNJA MARS MARKOVIĆ RADOVAN PR SMEDEREVSKA PALANKA;MARS;BOSANSKA 7;11420 SMEDEREVSKA PALANKA;Podunavski;54675372;101931346;Preduzetnik;28.8.2000.;Trgovina na malo u nespecijalizovanim prodavnicama, pretežno hranom, pićima i duvanom
RTV MARŠ DOO VALJEVO;RTV MARŠ DOO VALJEVO;KARAĐORĐEVA 120;14000 VALJEVO;Kolubarski;06366813;101496152;Društvo sa ograničenom odgovornošću;9.12.1992.;Trgovina na malo posredstvom pošte ili preko interneta
TRGOVINSKA RADNJA MARS MUNEVERA DESTANI PREDUZETNIK, NIŠ;MARS;NIKOLE PAŠIĆA BB;18000 NIŠ;Grad Niš;54694865;101538253;Preduzetnik;1.11.1999.;Trgovina na malo u nespecijalizovanim prodavnicama, pretežno hranom, pićima i duvanom
Mars Software d.o.o. Beograd-Novi Beograd;Mars Software d.o.o.;BULEVAR MIHAJLA PUPINA 6/19;11070 NOVI BEOGRAD;Grad Beograd;21574074;111930767;Društvo sa ograničenom odgovornošću;13.4.2020.;Računarsko programiranje
TELSONIC DOO KAĆ;TELSONIC DOO KAĆ;Atar 95;21241 Kać;Južno-Bački;08798354;103090977;Društvo sa ograničenom odgovornošću;1.10.2003.;Mašinska obrada metala
PREDUZEĆE ZA PROIZVODNJU I TRGOVINU AUTOINDUSTRIJA-FKL DOO TEMERIN;AUTOINDUSTRIJA-FKL DOO TEMERIN;INDUSTRIJSKA ZONA BB;21235 Temerin;Južno-Bački;20596678;106415955;Društvo sa ograničenom odgovornošću;25.12.2009.;Proizvodnja ležajeva, zupčanika i zupčastih pogonskih elemenata
FEROCOOP DOO TEMERIN;FEROCOOP DOO TEMERIN;Novosadska 333;21235 Temerin;Južno-Bački;21335479;110313598;Društvo sa ograničenom odgovornošću;7.11.2017.;Proizvodnja mašina za poljoprivredu i šumarstvo
FEROCOOP-COMMERCE DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU I TRGOVINU, NOVI SAD;FEROCOOP-COMMERCE DOO NOVI SAD;KAMENJAR III, KUĆA 161;21000 Novi Sad;Južno-Bački;08354138;101455038;Društvo sa ograničenom odgovornošću;2.8.1992.;Proizvodnja mašina za poljoprivredu i šumarstvo
