Puni naziv;Skraćeni naziv;Adresa;Pošta i mesto;Region;Matični broj;Poreski br.;Pravni oblik:;Datum osnivanja:;Delatnost:
SIEMENS MOBILITY DOO CEROVAC;SIEMENS MOBILITY DOO CEROVAC;Sobovica BB;34321 DESIMIROVAC;Šumadijski;17286064;101578476;Društvo sa ograničenom odgovornošću;7.11.2000.;Mašinska obrada metala
HEMOFARM AKCIONARSKO DRUŠTVO FARMACEUTSKO-HEMIJSKA INDUSTRIJA VRŠAC;HEMOFARM AD VRŠAC;BEOGRADSKI PUT BB;26300 VRŠAC;Južno-Banatski;08010536;102037788;Akcionarsko društvo;28.8.1998.;Proizvodnja farmaceutskih preparata
Društvo dobrovoljnih davalaca krvi Hemofarm Šabac;Društvo dobrovoljnih davalaca krvi Hemofarm Šabac;Hajduk Veljkova bb;15000 ŠABAC;Mačvanski;28255314;110715701;Udruženje, savez;19.1.2018.;Delatnost ostalih organizacija na bazi učlanjenja
FONDACIJA HEMOFARM;FONDACIJA HEMOFARM;BEOGRADSKI PUT , BB;26300 VRŠAC;Južno-Banatski;08519510;100914305;Neprofitna organizacija;4.5.1993.;Delatnost ostalih organizacija na bazi učlanjenja
HEMOFARM FRESENIUS D.O.O.;HEMOFARM FRESENIUS D.O.O.;BEOGRADSKI PUT BB;26300 VRŠAC;Južno-Banatski;08276633;102037770;Not Found;18.2.2003.;Not Found
HEMOFARM TRANSPORT ŠPEDICIJA - NEZAVISNOST SINDIKAT;HEMOFARM TRANSPORT ŠPEDICIJA - NEZAVISNOST SINDIKAT;BEOGRADSKI PUT BB;26300 VRŠAC;Južno-Banatski;08868565;104856176;Not Found;1.1.0001.;Delatnost sindikata
"SAMOSTALNI SINDIKAT ""HEMOFARM"" ŠABAC";"SAMOSTALNI SINDIKAT ""HEMOFARM"" ŠABAC";HAJDUK VELjKOVA BB;15000 ŠABAC;Mačvanski;17768549;101846453;Not Found;25.2.2003.;Delatnost sindikata
SAMOSTALNI SINDIKAT HEMOFARM VRŠAC;SAMOSTALNI SINDIKAT HEMOFARM VRŠAC;BEOGRADSKI PUT BB;26300 VRŠAC;Južno-Banatski;08849528;102039683;Not Found;28.1.2003.;Delatnost sindikata
SINDIKAT KONCERN HEMOFARM NEZAVISNOST;SINDIKAT KONCERN HEMOFARM NEZAVISNOST;BEOGRADSKI PUT BB;26300 VRŠAC;Južno-Banatski;08918210;102039691;Not Found;2.1.2003.;Delatnost sindikata
SINDIKAT NEZAVISNOST - HEMOFARM ŠABAC;SINDIKAT NEZAVISNOST - HEMOFARM ŠABAC;HAJDUK VELJKOVA BB;15000 ŠABAC;Mačvanski;17809423;102324531;Not Found;12.8.2010.;Delatnost sindikata
SCGM DOO KRAGUJEVAC;SCGM DOO KRAGUJEVAC;19 OKTOBRA 2;34000 KRAGUJEVAC;Šumadijski;17614053;103575110;Društvo sa ograničenom odgovornošću;15.10.2004.;Proizvodnja ostalih proizvoda od plastike
AKCIONARSKO DRUŠTVO ZA PROIZVODNJU I PROMET ORUŽJA ZASTAVA ORUŽJE, KRAGUJEVAC;ZASTAVA ORUŽJE AD KRAGUJEVAC;Kosovska 4;34000 KRAGUJEVAC;Šumadijski;07249845;101508753;Akcionarsko društvo;31.12.2000.;Proizvodnja oružja i municije
ASNS - ZASTAVA ORUŽJE KRAGUJEVAC;ASNS - ZASTAVA ORUŽJE KRAGUJEVAC;TRG TOPOLIVACA 4;34000 KRAGUJEVAC;Šumadijski;17583581;104269865;Not Found;23.3.2006.;Delatnost sindikata
NEZAVISNI SINDIKAT ZASTAVA ORUŽJE A.D. KRAGUJEVAC;NEZAVISNI SINDIKAT ZASTAVA ORUŽJE A.D. KRAGUJEVAC;KOSOVSKA 4;34000 KRAGUJEVAC;Šumadijski;18378655;112623175;Not Found;15.6.2021.;Not Found
NEZAVISNI SINDIKAT ZASTAVA ORUŽJE KRAGUJEVAC;NEZAVISNI SINDIKAT ZASTAVA ORUŽJE KRAGUJEVAC;9. MAJA 89;34000 KRAGUJEVAC;Šumadijski;17626515;102119281;Not Found;31.12.2002.;Delatnost sindikata
SINDIKALNA ORGANIZACIJA ZASTAVA ORUŽJE DP;SINDIKALNA ORGANIZACIJA ZASTAVA ORUŽJE DP;ŠPANSKIH BORACA 4;34000 KRAGUJEVAC;Šumadijski;17620860;101039855;Not Found;20.12.2002.;Delatnost sindikata
"SINDIKAT ""NEZAVISNOST"" - ZASTAVA ORUŽJE A.D. KRAGUJEVAC";"SINDIKAT ""NEZAVISNOST"" - ZASTAVA ORUŽJE A.D. KRAGUJEVAC";KOSOVSKA 4;34000 KRAGUJEVAC;Šumadijski;17772481;106608831;Not Found;5.5.2010.;Delatnost sindikata
SINDIKAT ZASTAVA ORUŽJE A.D. SLOGA KRAGUJEVAC;SINDIKAT ZASTAVA ORUŽJE A.D. SLOGA KRAGUJEVAC;Not Found;;Not Found;18375818;112146710;Not Found;1.1.0001.;Not Found
ZAJEDNICA SINDIKATA SRBIJE-ZASTAVA ORUŽJE KRAGUJEVAC;ZAJEDNICA SINDIKATA SRBIJE-ZASTAVA ORUŽJE KRAGUJEVAC;KOSOVSKA 53;34000 KRAGUJEVAC;Šumadijski;17922033;111565815;Not Found;1.1.0001.;Not Found
ZASTAVA ORUŽJE INDUSTRIJSKI SINDIKAT-AKCIONARSKO DRUŠTVO ZA PROIZVODNJU I PROMET ORUŽJA;ZASTAVA ORUŽJE INDUSTRIJSKI SINDIKAT-AKCIONARSKO DRUŠTVO ZA PROIZVODNJU I PROMET ORUŽJA;KOSOVSKA 4;34000 KRAGUJEVAC;Šumadijski;17881557;106971965;Not Found;1.1.0001.;Not Found
INDUSTRIJSKI SINDIKAT-AKCIONARSKO DRUŠTVO ZA PROIZVODNJU I PROMET ORUŽJA ZASTAVA ORUŽJE KRAGUJEVAC;ZASTAVA ORUŽJE KRAGUJEVAC;KOSOVSKA 4;34000 KRAGUJEVAC;Šumadijski;17815571;106971965;Not Found;21.3.2011.;Delatnost sindikata
SKALA GARDEN DOO ZA PROIZVODNJU I TRGOVINU SUBOTICA;SKALA GARDEN DOO SUBOTICA;SEGEDINSKI PUT 90;24000 Subotica;Severno-Bački;08827176;103604815;Društvo sa ograničenom odgovornošću;1.11.2004.;Proizvodnja alata
PREDUZEĆE ZA PROIZVODNJU PROMET I USLUGE ARILJEMETAL DOO, GRDOVIĆI;ARILJEMETAL DOO ARILJE GRDOVIĆI;GRDOVIĆI BB;31230 Arilje;Zlatiborski;06161715;100787178;Društvo sa ograničenom odgovornošću;11.9.1992.;Proizvodnja veznih elemenata i vijčanih mašinskih proizvoda
DRUŠTVO ZA PROIZVODNJU, PROMET I USLUGE FAB DOO LUKAVAC;FAB DOO LUKAVAC VALJEVO;LUKAVAC BB;14222 Divci;Kolubarski;06356567;101491438;Društvo sa ograničenom odgovornošću;3.12.1992.;Proizvodnja ostalih metalnih proizvoda
FAB ING doo Valjevo;FAB ING doo Valjevo;Lukavac BB;14222 Divci;Kolubarski;21630420;112225560;Društvo sa ograničenom odgovornošću;10.11.2020.;Izgradnja stambenih i nestambenih zgrada
APEX WELD & FAB DOO BAČKA TOPOLA;APEX WELD & FAB DOO BAČKA TOPOLA;MORAVSKA 23;24300 Bačka Topola;Severno-Bački;21765465;112907707;Društvo sa ograničenom odgovornošću;2.3.2022.;Proizvodnja ostalih metalnih proizvoda
FAB ATLAS DOO PREDUZEĆE ZA OSTALI PREVOZ PUTNIKA U KOPNENOM SAOBRAĆAJU BEOGRAD-ZVEZDARA;FAB ATLAS DOO BEOGRAD;NOVICE CEROVIĆA 1A;11050 BEOGRAD-ZVEZDARA;Grad Beograd;21185248;109452223;Društvo sa ograničenom odgovornošću;5.4.2016.;Ostali prevoz putnika u kopnenom saobraćaju
FAB GROUP DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA TRGOVINU I PRUŽANJE USLUGA BEOGRAD (VRAČAR);FAB GROUP DOO BEOGRAD;MILUTINA MILANKOVIĆA 146 II 6;11070 NOVI BEOGRAD;Grad Beograd;17307169;100279651;Društvo sa ograničenom odgovornošću;24.11.2000.;Trgovina na veliko hemijskim proizvodima
SZR MET - ALVAR RADIVOJE RADIVOJEVIĆ PR DRAGINAC;MET - ALVAR;Not Found;15311 DRAGINAC;Mačvanski;56826696;103800575;Preduzetnik;15.4.2005.;Mašinska obrada metala
SZR ZA IZRADU MET.GALANTERIJE BARANDA;SZR ZA IZRADU MET.GALANTERIJE;STEVICE JOVANOVIĆA 7;26205 Baranda;Južno-Banatski;51151780;Not Found;Preduzetnik;1.1.0001.;Not Found
TEHNIČKI REMONTNI ZAVOD;TEHNIČKI REMONTNI ZAVOD;DRAGIŠE MIŠOVIĆA 167;32000 Čačak;Moravički;07093608;100899230;Not Found;1.1.0001.;Not Found
TEHNIČKI REMONTNI ZAVOD NH;TEHNIČKI REMONTNI ZAVOD NH;POŠTANSKI FAH 159;34000 KRAGUJEVAC;Šumadijski;17864904;108341438;Not Found;13.12.2006.;Poslovi odbrane
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU METALNA INDUSTRIJA ALFA-PLAM VRANJE;ALFA-PLAM DOO VRANJE;RADNIČKA 1;17500 Vranje;Pčinjski;07137923;100402750;Društvo sa ograničenom odgovornošću;16.11.1998.;Proizvodnja neelektričnih aparata za domaćinstvo
ALFA - PLAM S.Z.R. PETAR STOJKOVIĆ;ALFA - PLAM S.Z.R. PETAR STOJKOVIĆ;Not Found;16205 Bojnik;Jablanički;56873813;100371272;Not Found;17.10.2005.;Not Found
"FONDACIJA ZA SOLIDARNU I SOCIJALNU POMOĆ ""ALFA PLAM"" A.D. VRANjE";"FONDACIJA ZA SOLIDARNU I SOCIJALNU POMOĆ ""ALFA PLAM"" A.D. VRANjE";RADNIČKA 1;17500 Vranje;Pčinjski;28827628;108455446;Neprofitna organizacija;19.3.2014.;Delatnost ostalih organizacija na bazi učlanjenja
SINDIKALNA ORGANIZACIJA SAMOSTALNOG SINDIKATA METALACA SRBIJE ALFA-PLAM A.D. VRANJE;SINDIKALNA ORGANIZACIJA SAMOSTALNOG SINDIKATA METALACA SRBIJE ALFA-PLAM A.D. VRANJE;RADNIČKA 1;17500 Vranje;Pčinjski;17691376;102188292;Not Found;27.1.2003.;Delatnost sindikata
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU BORBENI SLOŽENI SISTEMI BEOGRAD;BORBENI SLOŽENI SISTEMI DOO;BULEVAR UMETNOSTI 2;11070 NOVI BEOGRAD;Grad Beograd;17089048;101673891;Društvo sa ograničenom odgovornošću;20.4.1995.;Mašinska obrada metala
PREDUZEĆE ZA PROIZVODNJU I TRGOVINU EROZIMAT D.O.O. JAGODINA;EROZIMAT DOO JAGODINA;Vihorska 10;35000 JAGODINA;Pomoravski;07639830;101323027;Društvo sa ograničenom odgovornošću;21.9.1998.;Proizvodnja alata
PRIVREDNO DRUŠTVO ZA PROIZVODNJU GASNE I ENERGETSKE OPREME, INŽENJERING I TRGOVINU GASTEH DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU INĐIJA;GASTEH DOO INĐIJA;KRALjA PETRA I 231;22320 Inđija;Sremski;08755671;100698931;Društvo sa ograničenom odgovornošću;15.4.2002.;Proizvodnja ostalih slavina i ventila
Inmold Group d.o.o. Požega;Inmold Group d.o.o. Požega;KNjAZA MILOŠA 70;31210 POŽEGA;Zlatiborski;20923555;108053312;Društvo sa ograničenom odgovornošću;30.4.2013.;Istraživanje i razvoj u ostalim prirodnim i tehničko-tehnološkim naukama
Inmold Zona d.o.o. Priboj;Inmold Zona d.o.o.;Rača BB;31330 PRIBOJ;Šumadijski;21417700;111042425;Društvo sa ograničenom odgovornošću;18.9.2018.;Mašinska obrada metala
INMOLD-TKC DOO POŽEGA;INMOLD-TKC DOO POŽEGA;VOJVODE MIŠIĆA 5;31210 POŽEGA;Zlatiborski;20544449;106156296;Društvo sa ograničenom odgovornošću;11.6.2009.;Mašinska obrada metala
KNOTT-AUTOFLEX YUG DOO ZA PROIZVODNJU, TRGOVINU I USLUGE, BEČEJ;KNOTT-AUTOFLEX YUG DOO BEČEJ;NOVOSADSKA 202;21220 Bečej;Južno-Bački;08803374;103173822;Društvo sa ograničenom odgovornošću;16.12.2003.;Proizvodnja karoserija za motorna vozila, prikolice i poluprikolice
N.V.M.UROŠ D.O.O. SOPOT;N.V.M.UROŠ D.O.O.;ŠUMADIJSKA 2;11450 SOPOT;Grad Beograd;20816457;107503984;Društvo sa ograničenom odgovornošću;3.4.2012.;Proizvodnja ostalih proizvoda od plastike
PRIVREDNO DRUŠTVO ZA PROIZVODNJU, PROMET I USLUGE U UNUTRAŠNJOJ I SPOLJNOJ TRGOVINI PEŠTAN DOO BUKOVIK;PEŠTAN DOO BUKOVIK;PUT 1300 KAPLARA 188;34301 Bukovik;Šumadijski;07652992;100995440;Društvo sa ograničenom odgovornošću;10.9.1997.;Proizvodnja ploča, listova, cevi i profila od plastike
PRIVREDNO DRUŠTVO ZA PROIZVODNJU, PROMET ROBE I VRŠENJE USLUGA PEŠTAN DOO OBRENOVAC;PEŠTAN DOO DRAŽEVAC;JUGOVIĆA KRAJ 250;11506 DRAŽEVAC;Grad Beograd;07422121;101933071;Društvo sa ograničenom odgovornošću;16.8.1990.;Izgradnja stambenih i nestambenih zgrada
INSPIRIT WAT DOO VRBAS;INSPIRIT WAT DOO VRBAS;DANILA BOJOVIĆA 172;21460 Vrbas;Južno-Bački;20581875;106346046;Društvo sa ograničenom odgovornošću;2.11.2009.;Pomoćne obrazovne delatnosti
SAMOSTALNA ZANATSKA RADNJA VINKLERA WAT KADRI RAMADANI PR ŽUJINCE;WAT;Not Found;17523 PREŠEVO;Pčinjski;51114418;102490139;Preduzetnik;7.9.1994.;Popravka aparata za domaćinstvo i kućne i baštenske opreme
ALEKSA CVRKALJ PREDUZETNIK POSTAVLJANJE ELEKTRIČNIH INSTALACIJA ELEKTRO WAT SOLAR STARI BANOVCI;ALEKSA CVRKALJ PREDUZETNIK ELEKTRO WAT SOLAR;BLAGOJA PAVLOVIĆA 7;22305 Stari Banovci;Sremski;66875903;113508777;Preduzetnik;1.2.2023.;Postavljanje električnih instalacija
BORKO KNEŽEVIĆ PR ELEKTRIČARSKE USLUGE AKI-WAT KIKINDA;BORKO KNEŽEVIĆ PR ELEKTRIČARSKE USLUGE AKI-WAT KIKINDA;Not Found;23300 Kikinda;Severno-Banatski;66536866;113049758;Preduzetnik;19.5.2022.;Postavljanje električnih instalacija
EJUP RAMADANI PR ELEKTROSERVIS VINKLER WAT XE PREŠEVO;EJUP RAMADANI PR ELEKTROSERVIS VINKLER WAT XE PREŠEVO;Zenel Ajdini BB;17523 PREŠEVO;Pčinjski;65282291;111245092;Preduzetnik;21.1.2019.;Popravka aparata za domaćinstvo i kućne i baštenske opreme
JASMIN MURATOVIĆ PREDUZETNIK ELEKTRIČARSKA RADNJA EL-WAT SUBOTICA;EL-WAT;Franje Kluza 142 A;24000 Subotica;Severno-Bački;63780391;108897734;Preduzetnik;11.3.2015.;Postavljanje električnih instalacija
ZANATSKA RADNJA GEG WAT DRAGAN NOVAKOVIĆ PR GUČA (SELO);GEG WAT;Not Found;32230 GUČA;Moravički;60563594;104862592;Preduzetnik;1.4.2007.;Postavljanje električnih instalacija
IGOR DODIĆ PR POSTAVLJANJE ELEKTRO INSTALACIJA NS WAT NOVI SAD;IGOR DODIĆ PR NS WAT;BULEVAR CARA LAZARA 7;21000 Novi Sad;Južno-Bački;64467891;109846635;Preduzetnik;4.1.2017.;Postavljanje električnih instalacija
SRĐAN DODIĆ PR ZANATSKA RADNJA WAT 021 NOVI SAD;SRĐAN DODIĆ PR ZANATSKA RADNJA WAT 021 NOVI SAD;BULEVAR CARA LAZARA 7/13;21000 Novi Sad;Južno-Bački;63238449;108133843;Preduzetnik;24.6.2013.;Postavljanje električnih instalacija
STOJAN JERINIĆ PR KOMBINOVANE KANCELARIJSKO-ADMINISTRATIVNE USLUGE WAT B BAJINA BAŠTA;STOJAN JERINIĆ PR KOMBINOVANE KANCELARIJSKO-ADMINISTRATIVNE USLUGE WAT B BAJINA BAŠTA;MILENKA TRIŠIĆA-BIMBE 8;31250 Bajina Bašta;Zlatiborski;66856011;113482062;Preduzetnik;18.1.2023.;Kombinovane kancelarijsko-administrativne usluge
DRUŠTVO ZA PROIZVODNJU PROMET I USLUGE TEXIMP DOO BEOGRAD (NOVI BEOGRAD);TEXIMP DOO BEOGRAD;SURČINSKI PUT 1B;11070 NOVI BEOGRAD;Grad Beograd;17347462;101742641;Društvo sa ograničenom odgovornošću;25.9.2001.;Trgovina na veliko alatnim mašinama
TEXIMP IMMO DOO BEOGRAD;TEXIMP IMMO DOO;SURČINSKI PUT 1B;11070 NOVI BEOGRAD;Grad Beograd;21152706;109269597;Društvo sa ograničenom odgovornošću;23.11.2015.;Kupovina i prodaja vlastitih nekretnina
JAVNO PREDUZEĆE EMISIONA TEHNIKA I VEZE BEOGRAD (ČUKARICA);JP ETV BEOGRAD;Kneza Višeslava 88;11030 BEOGRAD-ČUKARICA;Grad Beograd;20610131;106475271;Drugo;16.2.2010.;Bežične telekomunikacije
JAT-TEHNIKA DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA ODRŽAVANJE I OPRAVKU VAZDUHOPLOVA, SURČIN;JAT-TEHNIKA DOO BEOGRAD;11180 Beograd 59;11271 Surčin;Grad Beograd;20029188;103831652;Društvo sa ograničenom odgovornošću;6.4.2005.;Popravka i održavanje letelica i svemirskih letelica
PREDUZEĆE ZA PROIZVODNJU KOČNE TEHNIKE PRVA PETOLETKA-KOČNA TEHNIKA AD TRSTENIK - U STEČAJU;PREDUZEĆE ZA PROIZVODNJU KOČNE TEHNIKE PRVA PETOLETKA-KOČNA TEHNIKA AD TRSTENIK - U STEČAJU;Cara Dušana 101;37240 TRSTENIK;Rasinski;07623941;101305525;Akcionarsko društvo;31.12.1999.;Proizvodnja ostalih delova i dodatne opreme za motorna vozila
DRAGER TEHNIKA TRGOVINA I SERVISIRANJE DOO BEOGRAD;DRAGER TEHNIKA DOO BEOGRAD;DANIJELOVA 12-16;11010 BEOGRAD-VOŽDOVAC;Grad Beograd;07528574;100345259;Društvo sa ograničenom odgovornošću;12.12.1990.;Nespecijalizovana trgovina na veliko
PRIVREDNO DRUŠTVO ZA PROIZVODNJU I REMONT TEHNIKA HIDRAULIKE ST DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU BEOGRAD;TEHNIKA HIDRAULIKE ST DOO BEOGRAD;SVETOZARA RADOJČIĆA 80G;11000 BEOGRAD;Grad Beograd;17406345;102186598;Društvo sa ograničenom odgovornošću;21.5.2002.;Proizvodnja mašina za ostale specijalne namene
ELEKTROTEHNIČKO PREDUZEĆE TEHNIKA AKCIONARSKO DRUŠTVO, VRŠAC;TEHNIKA AD VRŠAC;DOSITEJEVA 11;26300 VRŠAC;Južno-Banatski;08113114;102084935;Akcionarsko društvo;23.12.1998.;Postavljanje električnih instalacija
TEHNIKA K.B. D.O.O. BEOGRAD PREDUZEĆE ZA PROIZVODNJU, TRGOVINU I USLUGE;TEHNIKA K.B. D.O.O.;SURČINSKA 85;11070 NOVI BEOGRAD;Grad Beograd;17063405;100390723;Društvo sa ograničenom odgovornošću;28.7.1992.;Inženjerske delatnosti i tehničko savetovanje
PRIVREDNO DRUŠTVO ZA PROIZVODNJU, TRGOVINU I USLUGE KONVEX-GASNA I VODO TEHNIKA DOO, BEOGRAD (ZEMUN);KONVEX-GASNA I VODO TEHNIKA DOO BEOGRAD;Batajnički Drum 299;11080 ZEMUN;Grad Beograd;20449080;105730356;Društvo sa ograničenom odgovornošću;11.8.2008.;Nespecijalizovana trgovina na veliko
W Asfaltna Tehnika d.o.o. Beograd-Zemun;W Asfaltna Tehnika d.o.o. Beograd-Zemun;BATAJNIČKI DRUM 4 DEO 14;11080 ZEMUN;Grad Beograd;21847780;113335675;Društvo sa ograničenom odgovornošću;25.10.2022.;Trgovina na veliko rudarskim i građevinskim mašinama
NS UNION TEHNIKA DOO ZA TRGOVINU I USLUGE NOVI SAD;NS UNION TEHNIKA DOO NOVI SAD;MIROSLAVA PRODANOVIĆA MICKA 6;21000 Novi Sad;Južno-Bački;20474386;105840060;Društvo sa ograničenom odgovornošću;5.11.2008.;Trgovina na veliko rudarskim i građevinskim mašinama
T-1 ABRAZIV DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU REZERVNIH DELOVA I MAŠINA, ADA;T-1 ABRAZIV DOO ADA;SENĆANSKI PUT 59B;24430 Ada;Severno-Banatski;20609591;106472529;Društvo sa ograničenom odgovornošću;11.2.2010.;Mašinska obrada metala
T-1 RADNJA ZA METALOPRERAĐIVAČKU DELATNOST I TRGOVINU ZA PROMET ROBE NA VELIKO ARPAD TOT PREDUZETNIK ADA;T-1 RADNJA ZA METALOPRERAĐIVAČKU DELATNOST I TRGOVINU ZA PROMET ROBE NA VELIKO ARPAD TOT PREDUZETNIK ADA;Karađorđeva 60;24430 Ada;Severno-Banatski;50077683;100983578;Preduzetnik;5.11.1986.;Mašinska obrada metala
IDAS DOO ZA PROIZVODNJU, TRGOVINU I USLUGE, MOL;IDAS DOO MOL;8 .OKTOBRA 37;24435 Mol;Severno-Banatski;20240989;104845575;Društvo sa ograničenom odgovornošću;9.1.2007.;Proizvodnja ležajeva, zupčanika i zupčastih pogonskih elemenata
PREDUZEĆE ZA PROMET ROBE I PRUŽANJE USLUGA IDAS COMMERCE DOO BEOGRAD;IDAS COMMERCE DOO BEOGRAD;GENERALA ŽDANOVA 12 3;11070 NOVI BEOGRAD;Grad Beograd;06046924;100827084;Društvo sa ograničenom odgovornošću;25.8.1992.;Trgovina na veliko ostalim poluproizvodima
MILAN JAKŠIĆ PR, SAMOSTALNA METALOPRERAĐIVAČKA RADNJA I TRGOVINA ZA PROMET ROBE NA VELIKO I POSREDOVANJE IDAS SALAŠ-JAKŠIĆ MOL;MILAN JAKŠIĆ PR, SAMOSTALNA METALOPRERAĐIVAČKA RADNJA I TRGOVINA ZA PROMET ROBE NA VELIKO I POSREDOVANJE IDAS SALAŠ-JAKŠIĆ MOL;SALAŠ 1;24435 Mol;Severno-Banatski;61616594;106194064;Preduzetnik;6.7.2009.;Mašinska obrada metala
Ana Stekić pr Specijalizovane dizajnerske delatnosti STUDIO IDAS Beograd;Ana Stekić pr STUDIO IDAS;USTANIČKA 180A;11050 BEOGRAD-ZVEZDARA;Grad Beograd;66483916;112980732;Preduzetnik;13.4.2022.;Specijalizovane dizajnerske delatnosti
Ida Seraj Eddin Perišić PR dizajnerske usluge Idas Factory Beograd;Ida Seraj Eddin Perišić PR dizajnerske usluge Idas Factory Beograd;BABA-VIŠNjINA 19;11000 BEOGRAD;Grad Beograd;66413799;112876942;Preduzetnik;8.2.2022.;Specijalizovane dizajnerske delatnosti
SINDIKALNA ORGANIZACIJA SAMOSTALNOG SINDIKATA METALACA SRBIJE IDAS D.O.O.;SINDIKALNA ORGANIZACIJA SAMOSTALNOG SINDIKATA METALACA SRBIJE IDAS D.O.O.;8.OKTOBRA 37;24435 Mol;Severno-Banatski;08959021;109389683;Not Found;1.1.0001.;Not Found
ELMETAL DOO SENTA;ELMETAL DOO SENTA;Eugena Savojskog 6;24400 Senta;Severno-Banatski;20123613;104235267;Društvo sa ograničenom odgovornošću;26.1.2006.;Proizvodnja alata
SAMOSTALNA ZANATSKA RADNJA ELMETAL NEDELJKOVIĆ RADOJE PR VIROVO;SAMOSTALNA ZANATSKA RADNJA ELMETAL NEDELJKOVIĆ RADOJE PR VIROVO;Not Found;31230 Arilje;Zlatiborski;54935544;102098112;Preduzetnik;20.5.2001.;Proizvodnja elektromotora, generatora i transformatora
ZUPČANIK DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ADA;ZUPČANIK DOO ADA;PROLETERSKA 11;24430 Ada;Severno-Banatski;21250244;109829561;Društvo sa ograničenom odgovornošću;16.12.2016.;Mašinska obrada metala
MIHAJLO SAVIĆ PR ZANATSKO USLUŽNA RADNJA ZUPČANIK-SAVIĆ 22 DONJA OMAŠNICA;MIHAJLO SAVIĆ PR ZUPČANIK-SAVIĆ 22;DONJA OMAŠICA;37242 STOPANJA;Rasinski;63079863;107913064;Preduzetnik;1.2.2013.;Mašinska obrada metala
SLAVICA STOJANOVIĆ PR MAŠINSKA OBRADA METALA ZUPČANIK PLUS NIŠ (VRTIŠTE);SLAVICA STOJANOVIĆ PR ZUPČANIK PLUS;KNjAZA MILOŠA 4;18000 NIŠ;Grad Niš;67021843;113709495;Preduzetnik;23.5.2023.;Mašinska obrada metala
SAMOSTALNA METALOPRERAĐIVAČKA RADNJA ZUPČANIK-GŠ GORDOŠ ŠANDOR PREDUZETNIK ADA;ZUPČANIK-GŠ;PROLETERSKA 11;24430 Ada;Severno-Banatski;55531013;102414179;Preduzetnik;17.12.2002.;Mašinska obrada metala
SR ZA IZRADU PREDMETA OD PLASTIKE I METALA INTERCROWN-PLASTIC JANKOVIĆ JOVAN PREDUZETNIK NOVA PAZOVA;SR ZA IZRADU PREDMETA OD PLASTIKE I METALA INTERCROWN-PLASTIC JANKOVIĆ JOVAN PREDUZETNIK NOVA PAZOVA;Prva industrijska 1;22330 Nova Pazova;Sremski;53461557;101239820;Preduzetnik;28.11.1989.;Proizvodnja ostalih proizvoda od plastike
LIVNICA PRECIZNIH ODLIVAKA DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ADA;LPO DOO ADA;29. NOVEMBRA BB;24430 Ada;Severno-Banatski;08103763;100983676;Društvo sa ograničenom odgovornošću;5.3.1999.;Livenje čelika
SINDIKALNA ORGANIZACIJA LIVNICA PRECIZNIH ODLIVAKA A.D. ADA;SINDIKALNA ORGANIZACIJA LIVNICA PRECIZNIH ODLIVAKA A.D. ADA;29.NOVEMBAR BB;24430 Ada;Severno-Banatski;08913218;100986699;Not Found;4.1.2003.;Delatnost sindikata
TARA BUSINESS GROUP DOO Desimirovac-KRAGUJEVAC;TARA BUSINESS GROUP DOO;CARA DUŠANA NEMANjIĆA 106;34321 DESIMIROVAC;Šumadijski;21747432;112827135;Društvo sa ograničenom odgovornošću;27.12.2021.;Konsultantske aktivnosti u vezi s poslovanjem i ostalim upravljanjem
PRIVREDNO DRUŠTVO ZA KNJIGOVODSTVENE USLUGE TARA GROUP INC. DOO PANČEVO;TARA GROUP INC. DOO;Zmaj Jove Jovanovića 1;26000 Pančevo;Južno-Banatski;21411256;110992665;Društvo sa ograničenom odgovornošću;20.8.2018.;"Računovodstveni, knjigovodstveni i revizorski poslovi; poresko savetovanje"
LILLY TRADE DOO ZA PROIZVODNJU TRGOVINU NA VELIKO I MALO SENTA;LILLY TRADE DOO SENTA;KARAĐORĐEVA 37A;24400 Senta;Severno-Banatski;08583587;101103430;Društvo sa ograničenom odgovornošću;26.6.1998.;Mašinska obrada metala
JOKEY BG DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU, TRGOVINU I USLUGE NOVA PAZOVA;JBO DOO NOVA PAZOVA;Prva južna radna bb;22330 Nova Pazova;Sremski;08326851;100538480;Društvo sa ograničenom odgovornošću;15.5.1992.;Proizvodnja ambalaže od plastike
JOKEY BG INVEST DOO NOVA PAZOVA;JOKEY BG INVEST DOO NOVA PAZOVA;Prva južna radna bb;22330 Nova Pazova;Sremski;21237353;109758112;Društvo sa ograničenom odgovornošću;25.10.2016.;Iznajmljivanje vlastitih ili iznajmljenih nekretnina i upravljanje njima
