Daido Metal;42.387443;18.749403; VF-1DEHE;1
Mašinski fakultet Kragujevac;44.01894;20.905614; TM-1HE;1
Livnica Preciznih Odlivaka;45.790852;20.121084; VF-5 / TR210;1
Tehnička škola Ada;45.790805;20.129201;" TL-1; TM-1";2
TARA Group;42.956658;19.584703;" ST-10; VF-2SS / HRT210; VF-2SS / HRT210; EC-400; VF-1";5
Srednja mašinska škola Kruševac;43.577702;21.327853; TM-1HE;1
Dermatex Elektro;44.853076;20.399917; VMC-750;1
Lilly Trade;45.9168699;20.0958345; TM-2P;1
Jokey Bg D.O.O.;44.938306;20.217322;" TM-2HE; VF-3BHE";2
Q-TEK;42.090436;19.091396;" VM-3; DT-1";2
Sin-Kom;43.110708;22.64809;" VF-4; VF-6";2
Unior;43.999549;20.913608;" VF-6; VM-3";2
Zastava Inpro;43.99819;20.914938;" ST-20; ST-30; VF-2SS";3
Vipol;45.285535;19.815474; Deco 20;1
Vossloh MIN Skretnice d.o.o;43.338413;21.873495; EC-1600;1
Trgoprevoz;44.625346;21.173139; TM-3P;1
Freskop;44.285812;19.873184; TM-1PHE;1
Akvaton;41.992041;21.479763; TM-2P;1
INSA;44.8509;20.390725; VM-2HE;1
Eurotehna;43.9803314;19.5709894;" VM-3; VM-3; VM-3";3
Mag Plast;43.971499;19.558769; VCE-500;1
Ruen;41.913575;22.425232; TL-3HE;1
ORELJ;44.94057;20.207559;" TM-1HE; VCE-750; VCE-1250; VF-7; VF-8";5
SERVOTEH;44.840479;20.213281; VF-1;1
Modul SZR;46.084714;19.659112;" TM-1 + HRT210; TL-2";2
Alatnica Gajic;44.990045;20.140943; TM-1HE;1
Alatnica ADA;45.791315;20.140426;" TM-1HE; VF-1; Super MiniMill";3
Reduktor;44.953213;20.211314; VCE750;1
GS Evrometal;44.235501;21.20525; ST-10;1
Fiting;45.312412;19.836159; TM-1HE;1
Limar ZR;45.393545;20.392392; TL-2HE;1
IGMA INŽENJERING;44.871678;20.465362; TL-2HE;1
Isico;44.719539;20.373963;" TL-2HE; TM-3HE";2
KB Armature;44.789278;20.422658; TM-2HE;1
Milan Blagojević Namenska;43.8575;20.132918;" ST-10; VM-3";2
SMR Bata;45.790367;20.136759;" TM-1P; VF-2; VF-2YT-EU";3
SZR Mikron;43.938284;20.315094; TM-1HE;1
DAKA;45.361315;19.534483; SL20HE;1
Zastava Kovačnica;44.002574;20.912309;" SL-30HE; SL-40THE";2
Tehnička škola Priboj;43.562718;19.539818; TM-1HE;1
MOMČILO LAZOVIĆ PR;43.891908;20.345403; VF-3;1
Swissmechanic;44.239225;21.273115; VCE-750;1
Srednja mašinska škola - Novi Sad;45.259996;19.828101; TM-1;1
MIA Stil;41.441978;22.644646; TM-1HE;1
Industrijska Pneumatika;43.617833;20.993006; VCE-500;1
Dunav AD;45.261469;19.855964; TM-2THE;1
CAT doo;43.885212;20.333043; VF-2;1
AMAK SP;41.134347;20.819167; TM-1HE;1
TENT;44.670789;20.160749; VF-5;1
FERMES;45.199184;19.885182;" ST-10; ST-10; ST-10; ST-10; VF-1; CL-1; CL-1;";8
Sigit;43.99168;20.877521;" VF-3SS; VF-7";2
MultiTest;45.628473;20.020657;" SuperMiniMill 2; SuperMiniMill 2";2
Nis Naftagas tehnički servisi;45.371157;20.414357;" VF-4 + HRT210; ST-10; ST-40; VF-3BHE";4
MPK Trejd;44.282666;19.939258; VM-3;1
Alatnica Bokan;45.2488936;19.7171835;" VF-2; VF-3; VF-6; VCE-550; VCE-750; VCE-1000";6
Tim Sistem;44.949712;20.197109; VF-3;1
DEMA STIL;42.190627;22.304295;" VF-4SS; VF-4SS";2
Konelek;44.914164;20.26076;" TL-1; CL-2; VF-2 + TR160";3
LEONI Malošište;43.227819;21.837151; VF-1;1
Termoplast;44.063338;22.102687; VF-1;1
Sinterfuse;43.850328;19.855503;" VF-3; ST-10; ST-10";3
Suprematec;44.949545;20.195237;" DS-30Y; VM-3";2
Alatverk;44.977227;20.15238;" TM-3P; VF-3YT";2
2A Inzenjering;44.039336;20.893909; VF-2SS;1
DAVAX;45.310058;19.899319; VF-3SS + TR210;1
MSC-CG;42.090142;19.107993; TL-1;1
HDD Surgery;44.8870061;20.3094988;" ST-10Y; ST-20SSY; VM-2";3
La Co Me Tecno;43.769068;20.6326567;" VF-5SS; VF-4SS; VF-4SS";3
Alcom;44.871846;20.108285; VF-4SS;1
Unimetal;44.747992;20.485716; VF-2;1
LORD Ingenering;43.879204;20.346218; VF-2;1
Super Plast;44.949142;20.202747;" SL-10; SL-30; VF-3";3
Vuksanovic SZAR;44.022416;21.337252; VF-2;1
Speld;44.44303;21.076696;" VF-4; ";2
GMB Automatik;44.590891;20.347146; VM-3;1
Vuves Commerce;45.303829;19.926474; VCE-500;1
Teleoptik Ziroskopi;44.852979;20.386977;" DM-2; DM-2 + TRT100; DS30SSY + Hass Barfeeder; ST-15Y + Hass Barfeeder; ST-25Y + Hass Barfeeder; ST-30SSY + Hass Barfeeder; UMC-750SS; VF-3SSYT; VM-2 + TRT160";9
Euro-Heat;44.024776;20.938354; VF-4;1
MZT Pumpi;41.994194;21.486576; ST-25;1
Metalogalvanic;43.882806;20.32651; VM-2;1
ELBI;44.275461;19.887722; ST-15Y;1
Mlino-mont;44.848598;19.48406;" ST-40; ST-20";2
General Solutions;45.389763;20.434806; TM2-P;1
Harder Digital Sova;43.30517;21.948511;" ST-20Y; VF-2SS + HTR160";2
Pobeda Compani;44.949756;20.204802; VF-6;1
AbsoluteCNC;45.240245;19.676416;" ST-20Y; SL-20; SL-20; SL-20";4
DDM Metaling;42.555808;21.93998; VF-4SS;1
CNC Obrada;44.3797426;21.0824954;" VF-4; UMC-500; VF-2SS; ST-20; ST-25; ST-30Y; ST-30Y; ST-30Y; Nakamura-Tome AS-200LMYS";9
Milija Simovic Doo;43.853689;20.385402; VF-3SS;1
Woksal;43.84805;19.86288; VF-2SS;1
Amphenol;41.900193;22.372947;" Mini Mill; VF-4SS";2
EMKA;44.255372;20.094232;" VF-2SSYT; ST-10; ST-10";3
Mashtronics;44.422433;20.671286;" Super MiniMill; VF-6; ST-20Y";3
GS Evrometal;44.238312;21.209093;" VM-2; VF-3SS + HRT210; VF-6; VF-9/50; UMC-750";5
Biotehnika IVD;43.712162;20.725954; VF-2SS;1
Politehnička Škola Kragujevac;44.007376;20.916256;" VF-1; ST-10; MiniMill EDU";3
MetalProfil;45.811522;20.108534;" VF-4 + HRT210; ST-30";2
Multidekor;44.3796527;21.0825447;" ST-20Y; VF-3SS";2
Orox;45.2514159;19.8853961; VF-2SS;1
Elmed;45.4109389;19.9006136;" TL-2; VF-2YT";2
Metalex;41.4516686;22.0215567; ST-10;1
Golas;44.8718081;20.1021067; VM-2;1
ZR Pervas;44.293147;19.9214723;" HL-2; VCE-750";2
Junior SZR;44.9781588;20.1694006; VCE-500;1
Fabrorum;44.2386538;21.2725677; SL-20;1
GM Converting;44.0334777;20.5100697;" VM-3; VCE1250";2
Agro-Art;44.9796306;20.1621943; ST-30Y;1
Vucko;44.9759548;20.1682354; VF-2;1
Alinoks;43.9425676;21.1289675; VF-3;1
PerunMoto;44.7943961;20.5206896; VF-2SS;1
ZF Serbia;44.9136505;20.6438383;" VF-2SS; ST-30Y";2
Leoni Niš;43.3172012;21.8359992; SuperMiniMill;1
SinterMetal-EC;44.8870268;20.3099872; SuperMiniMill;1
PI Brus;43.1370221;22.5424502; VF-2;1
Zarkom;45.101706;21.3061999; VF-2SS;1
Hydromag;43.8501003;21.4078904; ST-20;1
Plazmateh;43.8905196;20.3664786; VF-2;1
Radijator Inženjering;43.7406977;20.6679804;" VF-2; ST-30Y";2
Omnis Lukić;43.3963645;21.7992348; ST-20Y;1
Inmold Zona doo;43.6212911;19.492731;" VM-3; VM-3";2
DDM Metaling;42.9705851;21.9535832; VF-2SS + TR160;1
Unipromet;43.889931;20.3857597; VM-6 + HRT310;1
Como;43.9942652;21.2598991; VM-3;1
Jomapex;45.3704184;20.0473813; ST-30Y;1
AutoStop Interiors;43.0098244;21.9406343; VF-1;1
Beoven;44.7960319;20.3053287; VF-2SS;1
Vesimpex;44.7349466;20.4461196; VF-4;1
MotoBike;45.3035643;19.9287801; ST-10;1
Sintal;44.8138959;20.5250809; VF-1;1
Marel;43.5431644;21.3542394;" VF-2SS; VF-3YT";2
Kordun Metali;45.7708584;20.1344769; SL-30;1
Telix;45.2484124;19.8082307;" UMC-750; VF-2SSY; VF-2SSY; VF-3SSY";4
Alfaprodukt;44.7349208;20.3792579; VF-2;1
Kolektor;45.286823;19.8028156;" TM-2; VF-2YT";2
Delta Tehnik Marold;45.2087215;19.7148817; VF-6SS;1
SMR Mikron;44.7285775;20.3813483; VF-2SS;1
Microsoft;44.8184045;20.4239438; Office Mill + TRT 70;1
Metalkov 1985;44.8572865;20.3527658;" ST-10Y; ST-20Y; LNS HYS 6.26-6.46 HS; LNS HYS 6.55-6.68 HS";4
Sato;43.6863502;20.5766299; VF-2SS + HRT160;1
Alatplast;46.0877168;19.6342541; Studer S33 brusilica;1
Srednja škola Knić;43.9272975;20.7145764; Super Mini Mill;1
Tropiko;45.126045;19.2301182; VCE-750;1
3Lateral;45.255286;19.834668;" ST-10Y; VF-2; HRT-160; TRT160";4
S.R. Janković;44.641502;20.893858; SL-20;1
Adamet;45.792036;20.14011; VCE-1600;1
Tehnotim Šajković;44.474501;21.07929;" SL-20TBCE; VF-2DCE";2
PEKOM INŽENJERING;43.720622;20.680481; VF-2DHE;1
Aikiva Machines doo;44.8674375;20.4630625;" VF-2YT; HRT210";2
PROMEK;44.3493792;21.086559;" UMC-500SS; VF-2SS";2
PWO SEE d.o.o;44.0003915;20.9138567;" VM-3; VF-6; VF-3; VF-3";4
Albatros;45.0340877;20.0894661; VF-2;1
Galeb;44.7378867;19.6752067;" UMC 750; ST-10";2
EM PROJECT 89 DOO;43.631018;20.8669589; VF-2SS;1
JE&STE CAD/CAM;44.807086;20.343853; TM-2P;1
LMB Europa;43.329521;21.897265; MiniMill;1
Gama Consulting;43.229678;21.5918245;" VF-3; VF-6";2
SZR Universal (Steel Industry);44.98369554;20.1457473; VCE 750;1
Technique ENG. ING.;43.9128375;20.3389531; SMiniMill;1
IBC Technologies;44.7558375;20.3550781; ST-10;1
Livnica Kikinda - Cimos;45.8113125;20.4386406;" ST-35; ST-35; ST-35; ST-35";4
STOJANOVIĆ 56229701;43.1808125;22.5730469;" VF-3YT/50; SL-30";2
Mehanika-Fives;43.5603375;21.6917344;" TL-2HE; VF-1DYTHE / HRT210; VF-3SS";3
Zombori;45.7837875;20.1280469; SL-30THE;1
TEN FINGERS;44.9428775;20.2274542; SL-10;1
Mechatronics Unmanned systems & Technology Solutions;44.8440125;20.5119531; VF-2SS;1
Johnson Matthey Macedonia;41.9864417;21.6224745;" VF-3SSYT; TM-3; ST-30; VF-2SS";4
AMM Manufacturing;44.1216625;20.8579844;" VF-8/50HE; VF-10/50; ST-30; VF-4SS; VF-4BHE";5
Leikauf Metallbearbeitung d.o.o.;45.6929125;20.0822031;" VF-2SS-EU; VF-2SS-EU; VF-2SS-EU";3
BSK Obrenovac;44.6519457;20.2020344; ST-30Y;1
AGENA TECHNOLOGY DOO - ŠIMANOVCI;44.8846125;20.1023594; TM-3P;1
Mašinski centar Arsenijević;43.9004625;20.3544219; VF-4HE;1
Miren doo;46.1226875;19.6659375; TL-1HE;1
Dura Automotive;41.9964875;21.5973281; TM-1P;1
GPS Insulators;44.7353875;20.4462031; VM-3;1
Top Level;44.8486125;20.3783594; VF-2SS;1
TM DOO Štip;41.7594625;22.1807656;" VF-2SS; VF-2SS; ST-35Y";3
Avala Auto Centar;44.9808625;20.1447656; VF-3SS;1
MP METAL SOLUTIONS DOO;44.8826875;20.3185156;" ST-20; VF-4SS; VF-4SS";3
Technosteel & Consulting doo;44.9941875;19.8196406;" VF-4BHE; HRT310";2
Schiebel Components;44.0063966;21.2562027; ST-20Y;1
RASCO-TAMP;45.9158625;20.0973827;" TL-3HE; VF-2DHE";2
Termometal;45.7836125;20.1222969;" SL-20; ST-20; ST-30Y; ST-30";4
KEDAR DOO;45.3505625;19.5841406; TM-3P;1
CNC Solutions Kukić;44.7742625;19.6723594; UMC-750;1
Metal Konstrukt doo;45.8110375;19.6496406; VCE 1250;1
Plamen doo;45.0263625;20.1026719; VF-3;1
Pelcer ;46.1059625;19.7007656; VF-2;1
GrappS doo;44.6762125;20.9444531; UMC-500;1
Elektromotor - Šimon doo;45.9424875;20.1278594;" VF-2SS; VF-3SS; VF-6/40HE";3
Leoni - Kraljevo;43.7314625;20.6667969; VF-2SS;1
Reduktori - Niš;43.3041125;21.9485469; ST-30;1
Politehnika - Škola za nove tehnologije;44.8354375;20.3736406;" VF-2; ST-10Y";2
CIP doo;43.7298125;20.7178906;" Tornos CT-20/5II; Tornos Swiss Nano 7";2
Element 2018;44.7494125;19.6620469;" MiniMill; SL-20";2
JOMI-ING;45.3083625;19.9029219;" VF-2SS; VF-9 / TR200Y; ST-10Y; ST-30Y; VM-3";5
NS-STEEL 1989 doo;45.2470625;19.7836406; VF-2SSYT-EU;1
TERMIČKA OBRADA METALA VUJOŠEVIĆ;44.4348125;20.6573125; SL-20THE;1
Škapina doo;43.8539875;20.3454219; VF-5/50;1
Ivavet doo;45.2359625;19.6255469; VF-2SSYT-EU;1
PRDC doo;44.8766375;20.1149844;" ST-10; TM-2P; TM-3P; UMC-750SS";4
M.J.R. COMPANI - SZR JOVAN MAJKIĆ PR;45.0539125;20.0786094; VM-3;1
M PROJECT CO. DOO;43.8918123;20.3678118; Matsura VX-1000;1
Eurowin;45.2707625;20.0892969;" VF-3SSYT; VF-3SSYT; UMC-500";3
Dmiteh;43.8941625;20.3590469; VF-2SS;1
Megaplast ZTR;45.7659625;19.1227031; ST-10Y;1
B2B Nedakusi;43.0581875;19.7710781; ST-35LY;1
TCS S.E. EUROPE DOO;45.1118875;21.2787656; VF-2YT-EU;1
AMS Sistem doo;43.9998875;20.9137969;" VF-4SS-EU; HRT210SS";2
HyperMilling;44.3762125;20.9673594; VF-3;1
Zlatara Gema;43.3164625;21.8912344; VF-2SSYT-EU;1
