7	204	D-20	717993	1020852	38
7	204	D-20	717994	1020857	38
8	205	D-22	717996	1020420	40
8	205	D-22	717997	1020422	40
8	205	D-22	717998	1020425	40
8	205	D-22	717999	1020429	40
8	205	D-22	718000	1020432	40
8	205	D-22	718001	1020437	40
8	205	D-22	718002	1020442	40
8	205	D-22	718003	1020447	40
8	205	D-22	718004	1020461	40
8	205	D-22	718005	1020465	40
8	205	D-22	718006	1020476	40
8	205	D-22	718007	1020484	40
8	205	D-22	718008	1020497	40
8	205	D-22	718009	1020510	40
8	205	D-22	718010	1020524	40
8	205	D-22	718011	1020537	40
8	205	D-22	718012	1020550	40
8	205	D-22	718013	1020562	40
8	205	D-22	718014	1020577	40
8	205	D-22	718015	1020585	40
8	205	D-22	718016	1020600	40
8	205	D-22	718017	1020612	40
8	205	D-22	718018	1020628	40
8	205	D-22	718019	1020645	40
8	205	D-22	718020	1020659	40
8	205	D-22	718021	1020669	40
8	205	D-22	718022	1020681	40
8	205	D-22	718023	1020686	40
8	205	D-22	718024	1020697	40
8	205	D-22	718025	1020709	40
8	205	D-22	718026	1020720	40
8	205	D-22	718027	1020727	40
8	205	D-22	718028	1020738	40
8	205	D-22	718029	1020750	40
8	205	D-22	718030	1020761	40
8	205	D-22	718031	1020770	40
8	205	D-22	718032	1020782	40
8	205	D-22	718033	1020789	40
8	205	D-22	718034	1020802	40
8	205	D-22	718035	1020816	40
9	206	D-24	718037	1020416	38
9	206	D-24	718038	1020417	38
9	206	D-24	718039	1020418	38
9	206	D-24	718040	1020419	38
9	206	D-24	718041	1020421	38
9	206	D-24	718042	1020423	38
9	206	D-24	718043	1020424	38
9	206	D-24	718044	1020427	38
9	206	D-24	718045	1020430	38
9	206	D-24	718046	1020433	38
9	206	D-24	718047	1020435	38
9	206	D-24	718048	1020439	38
9	206	D-24	718049	1020444	38
9	206	D-24	718050	1020446	38
9	206	D-24	718051	1020453	38
9	206	D-24	718052	1020457	38
9	206	D-24	718053	1020462	38
9	206	D-24	718054	1020473	38
9	206	D-24	718055	1020481	38
9	206	D-24	718056	1020491	38
9	206	D-24	718057	1020499	38
9	206	D-24	718058	1020507	38
9	206	D-24	718059	1020516	38
9	206	D-24	718060	1020527	38
9	206	D-24	718061	1020535	38
9	206	D-24	718062	1020545	38
9	206	D-24	718063	1020557	38
9	206	D-24	718064	1020563	38
9	206	D-24	718065	1020574	38
9	206	D-24	718066	1020582	38
9	206	D-24	718067	1020595	38
9	206	D-24	718068	1020603	38
9	206	D-24	718069	1020611	38
9	206	D-24	718070	1020624	38
9	206	D-24	718071	1020634	38
9	206	D-24	718072	1020649	38
9	206	D-24	718073	1020658	38
9	206	D-24	718074	1020666	38
10	207	D-11	718076	1021196	21
10	207	D-11	718077	1021194	21
10	207	D-11	718078	1021193	21
10	207	D-11	718079	1021192	21
10	207	D-11	718080	1021190	21
10	207	D-11	718081	1021189	21
10	207	D-11	718082	1021188	21
10	207	D-11	718083	1021187	21
10	207	D-11	718084	1021186	21
10	207	D-11	718085	1021185	21
10	207	D-11	718086	1021184	21
10	207	D-11	718087	1021694	21
10	207	D-11	718088	1021693	21
10	207	D-11	718089	1021692	21
10	207	D-11	718090	1021691	21
10	207	D-11	718091	1021690	21
10	207	D-11	718092	1021689	21
10	207	D-11	718093	1021688	21
10	207	D-11	718094	1021687	21
10	207	D-11	718095	1021686	21
10	207	D-11	718096	1021179	21
11	208	D-12	718097	1021182	23
11	208	D-12	718098	1021178	23
11	208	D-12	718099	1021177	23
11	208	D-12	718100	1021176	23
11	208	D-12	718101	1021174	23
11	208	D-12	718102	1021173	23
11	208	D-12	718103	1021171	23
11	208	D-12	718104	1021170	23
11	208	D-12	718105	1021167	23
11	208	D-12	718106	1021166	23
11	208	D-12	718107	1021165	23
11	208	D-12	718108	1021164	23
11	208	D-12	718109	1021163	23
11	208	D-12	718110	1021162	23
11	208	D-12	718111	1021161	23
11	208	D-12	718112	1021683	23
11	208	D-12	718113	1021682	23
11	208	D-12	718114	1021681	23
11	208	D-12	718115	1021680	23
11	208	D-12	718116	1021679	23
11	208	D-12	718117	1021678	23
11	208	D-12	718118	1021677	23
11	208	D-12	718119	1021157	23
12	209	D-13	718120	1021114	21
12	209	D-13	718121	1021115	21
12	209	D-13	718122	1021117	21
12	209	D-13	718123	1021120	21
12	209	D-13	718124	1021122	21
12	209	D-13	718125	1021124	21
12	209	D-13	718126	1021126	21
12	209	D-13	718127	1021129	21
12	209	D-13	718128	1021130	21
12	209	D-13	718129	1021131	21
12	209	D-13	718130	1021132	21
12	209	D-13	718131	1021133	21
12	209	D-13	718132	1021134	21
12	209	D-13	718133	1021668	21
12	209	D-13	718134	1021669	21
12	209	D-13	718135	1021670	21
12	209	D-13	718136	1021671	21
12	209	D-13	718137	1021672	21
12	209	D-13	718138	1021673	21
12	209	D-13	718139	1021674	21
12	209	D-13	718140	1021137	21
13	210	D-14	718141	1021050	27
13	210	D-14	718142	1021051	27
13	210	D-14	718143	1021053	27
13	210	D-14	718144	1021057	27
13	210	D-14	718145	1021060	27
13	210	D-14	718146	1021062	27
13	210	D-14	718147	1021066	27
13	210	D-14	718148	1021069	27
13	210	D-14	718149	1021070	27
13	210	D-14	718150	1021072	27
13	210	D-14	718151	1021073	27
13	210	D-14	718152	1021074	27
13	210	D-14	718153	1021076	27
13	210	D-14	718154	1021078	27
13	210	D-14	718155	1021079	27
13	210	D-14	718156	1021080	27
13	210	D-14	718157	1021081	27
13	210	D-14	718158	1021657	27
13	210	D-14	718159	1021658	27
13	210	D-14	718160	1021659	27
13	210	D-14	718161	1021660	27
13	210	D-14	718162	1021661	27
13	210	D-14	718163	1021662	27
13	210	D-14	718164	1021663	27
13	210	D-14	718165	1021664	27
13	210	D-14	718166	1021665	27
13	210	D-14	718167	1021088	27
14	211	D-15	718168	1020960	27
14	211	D-15	718169	1020962	27
14	211	D-15	718170	1020966	27
14	211	D-15	718171	1020980	27
14	211	D-15	718172	1020983	27
14	211	D-15	718173	1020986	27
14	211	D-15	718174	1020990	27
14	211	D-15	718175	1020994	27
14	211	D-15	718176	1020997	27
14	211	D-15	718177	1021002	27
14	211	D-15	718178	1021004	27
14	211	D-15	718179	1021007	27
14	211	D-15	718180	1021010	27
14	211	D-15	718181	1021012	27
14	211	D-15	718182	1021015	27
14	211	D-15	718183	1021020	27
14	211	D-15	718184	1021021	27
